word,tag
DISFAVOARE,orth
s.,gramGrp
f.,gramGrp
s.,MorfDef
f.,MorfDef
v.,RegDef
defavoare,RegDef
"DISFAVORITOR,",orth
-OARE,orth
adj.,gramGrp
adj.,MorfDef
"(învechit,",usg
rar),usg
Care,RegDef
defavorizează.,RegDef
A,RegDef
tractarisi,RegDef
şi,RegDef
a-şi,RegDef
dobândi,RegDef
oarecare,RegDef
tocmele,RegDef
mai,RegDef
puţin,RegDef
disfavoritoare.,RegDef
—,form
PL.:,form
"disfavoritori,",form
-oare,form
—,form
De,form
la,form
disfavoare,form
DISFAZIE,orth
s.,gramGrp
f.,gramGrp
s.,MorfDef
f.,MorfDef
(Med.),usg
Tulburare,RegDef
a,RegDef
vorbirii;,RegDef
dificultate,RegDef
la,RegDef
vorbit;,RegDef
afazie.,RegDef
—,form
PL.:,form
disfazii,form
—,form
Din,form
fr.,form
dysphasie,form
DISFĂCÂTI,orth
s.,gramGrp
n.,gramGrp
s.,MorfDef
n.,MorfDef
v.,RegDef
desfăcat,RegDef
"DISFĂCAT?,",orth
-Ă,orth
adj.,gramGrp
adj.,MorfDef
v.,RegDef
desfăcat,RegDef
DISFĂŞA,orth
vb.,gramGrp
I,gramGrp
vb.,MorfDef
I,MorfDef
v.,RegDef
desfăşa,RegDef
DISFĂTUI,orth
vb.,gramGrp
IV,gramGrp
vb.,MorfDef
IV,MorfDef
v.,RegDef
desfătui,RegDef
"DISFIGURAT,",orth
-Ă,orth
adj.,gramGrp
adj.,MorfDef
v.,RegDef
desfigurat,RegDef
DISFIINȚĂ,orth
vb.,gramGrp
I,gramGrp
vb.,MorfDef
I,MorfDef
v.,RegDef
desfiinţa,RegDef
DISFIINȚĂRE,orth
s.,gramGrp
f.,gramGrp
s.,MorfDef
f.,MorfDef
v.,RegDef
desființare,RegDef
"DISFIINȚAT,",orth
-Ă,orth
adj.,gramGrp
adj.,MorfDef
v.,RegDef
desfiinţat,RegDef
DISFIRA,orth
vb.,gramGrp
I,gramGrp
vb.,MorfDef
I,MorfDef
v.,RegDef
desfira,RegDef
DISFLORI,orth
vb.,gramGrp
IV,gramGrp
vb.,MorfDef
IV,MorfDef
deflora,RegDef
Critica,quote
învia,quote
în,quote
Grecia,quote
pe,quote
când,quote
disflorise,quote
deja,quote
frumoasa,quote
viață,quote
greacă,quote
în,quote
nemijlocita,quote
sa,quote
productivitate.,quote
"EMINESCU,",abbr
O.,abbr
"XIV,",abbr
250,abbr
DISFONIE,orth
s.,gramGrp
f.,gramGrp
s.,MorfDef
f.,MorfDef
(Med.),usg
Alterare,RegDef
a,RegDef
vocii,RegDef
datorată,RegDef
unor,RegDef
leziuni,RegDef
ale,RegDef
coardelor,RegDef
"vocale,",RegDef
ale,RegDef
nervilor,RegDef
laringelui,RegDef
sau,RegDef
ale,RegDef
unor,RegDef
centri,RegDef
nervoşi,RegDef
superiori.,RegDef
—,form
PL.:,form
disfonii,form
—,form
Din,form
fr.,form
dysphonie,form
DISFORIE,orth
s.,gramGrp
f.,gramGrp
s.,MorfDef
f.,MorfDef
(Med.),usg
Tulburare,RegDef
a,RegDef
dispoziţiei,RegDef
caracterizată,RegDef
prin,RegDef
tristeţe,RegDef
profundă,RegDef
şi,RegDef
"frică,",RegDef
însoţită,RegDef
uneori,RegDef
de,RegDef
iritabilitate,RegDef
extremă,RegDef
şi,RegDef
de,RegDef
agresivitate.,RegDef
—,form
PL.:,form
disforii,form
—,form
Din,form
fr.,form
dysphorie,form
DISFORMA,orth
vb.,gramGrp
I,gramGrp
vb.,MorfDef
I,MorfDef
v.,RegDef
deforma,RegDef
DISFORMITATE,orth
s.,gramGrp
f.,gramGrp
s.,MorfDef
f.,MorfDef
v.,RegDef
diformitate,RegDef
DISFORTIFICA,orth
vb.,gramGrp
I,gramGrp
vb.,MorfDef
I,MorfDef
v.,RegDef
defortifica,RegDef
DISFRAZIE,orth
s.,gramGrp
f.,gramGrp
s.,MorfDef
f.,MorfDef
(Med.),usg
Schizofrenie.,RegDef
—,form
PL.:,form
disfrazii,form
—,form
Din,form
fr.,form
dysphrasie,form
DISFRÂNARE,orth
s.,gramGrp
f.,gramGrp
s.,MorfDef
f.,MorfDef
v.,RegDef
desfrânare,RegDef
"DISFRÂNAT,",orth
-Ă,orth
adj.,gramGrp
adj.,MorfDef
v.,RegDef
desfrânat,RegDef
DISFUNCȚIE,orth
s.,gramGrp
f.,gramGrp
s.,MorfDef
f.,MorfDef
(Med.),usg
Tulburare,RegDef
funcțională,RegDef
a,RegDef
unui,RegDef
"organ,",RegDef
a,RegDef
unei,RegDef
"glande,",RegDef
a,RegDef
unui,RegDef
aparat,RegDef
sau,RegDef
sistem.,RegDef
În,quote
"medicină,",quote
sufixul,quote
„-ită”,quote
presupune,quote
un,quote
exces,quote
în,quote
funcţionarea,quote
unui,quote
"organ,",quote
o,quote
disfuncţie,quote
prin,quote
exacerbare.,quote
"LIICEANU,",abbr
J.,abbr
77,abbr
Unul,quote
din,quote
trei,quote
bărbați,quote
...,quote
are,quote
probleme,quote
de,quote
disfuncție,quote
"erectilă,",quote
se,quote
arată,quote
în,quote
cel,quote
mai,quote
complex,quote
studiu,quote
privind,quote
sexualitatea,quote
populației,quote
active,quote
din,quote
România.,quote
RL,quote
"2006,",quote
nr.,quote
4879.,quote
RL,bibl
"2006,",bibl
nr.,bibl
4879,bibl
Fig.,usg
Și,quote
aici,quote
apar,quote
disfuncţii.,quote
"SCÂNTEIA,",abbr
"1975,",abbr
nr.,abbr
10,abbr
347,abbr
Anomalie,RegDef
în,RegDef
funcționarea,RegDef
unei,RegDef
structuri,RegDef
sociale,RegDef
"administrative,",RegDef
a,RegDef
unui,RegDef
proces,RegDef
etc..,RegDef
Este,quote
interesantă,quote
reacția,quote
pieței,quote
la,quote
aiurelile,quote
şi,quote
disfuncțiile,quote
procesului,quote
electoral.,quote
RL,abbr
"2004,",abbr
nr.,abbr
4,abbr
487,abbr
Exprimările,quote
confuze,quote
sau,quote
incomplete,quote
utilizate,quote
în,quote
textul,quote
actelor,quote
normative,quote
au,quote
creat,quote
disfuncții,quote
în,quote
privința,quote
aplicării,quote
dispozițiilor,quote
legale,quote
în,quote
domeniul,quote
culturii.,quote
RL,abbr
"2005,",abbr
nr.,abbr
4,abbr
559,abbr
(Tehn.),usg
Reducere,RegDef
a,RegDef
adaptării,RegDef
sau,RegDef
integrării,RegDef
unui,RegDef
subsistem,RegDef
la,RegDef
sistemul,RegDef
din,RegDef
care,RegDef
face,RegDef
parte.,RegDef
—,form
PL.:,form
disfuncţii,form
—,form
Din,form
germ.,form
Dysfunktion,form
—,form
Din,form
fr.,form
dysfonction,form
"DISFUNCȚIONAL,",orth
-Ă,orth
adj.,gramGrp
adj.,MorfDef
Care,RegDef
se,RegDef
referă,RegDef
la,RegDef
disfuncţie.,RegDef
—,form
Pronunţat:,form
-fi-o-,form
—,form
PL.:,form
"disfuncționali,",form
-e,form
—,form
Disfuncţie,form
+,form
suf.,form
-onal.,form
Cf.,form
engl.dysfunctional,form
DISFUNCȚIONALITĂTE,orth
s.,gramGrp
f.,gramGrp
s.,MorfDef
f.,MorfDef
Lipsă,RegDef
de,RegDef
funcţionalitate.,RegDef
Timpul,quote
istoric,quote
nu,quote
duce,quote
automat,quote
...,quote
la,quote
rezolvarea,quote
disfuncționalităților,quote
...,quote
acumulate,quote
într-un,quote
stadiu,quote
sau,quote
altul,quote
al,quote
mişcării,quote
sociale.,quote
ROMÂNIA,abbr
"LITERARĂ,",abbr
