word,tag
DISFAVOARE,orth
s. f.,gramGrp
s. f.,MorfDef
v. defavoare,RegDef
"DISFAVORITOR, -OARE",orth
adj.,gramGrp
adj.,MorfDef
"(învechit, rar)",usg
Care defavorizează. A tractarisi şi a-şi dobândi oarecare tocmele mai puţin disfavoritoare.,RegDef
"— PL.: disfavoritori, -oare",form
— De la disfavoare,form
DISFAZIE,orth
s. f.,gramGrp
s. f.,MorfDef
(Med.),usg
Tulburare a vorbirii; dificultate la vorbit; afazie.,RegDef
— PL.: disfazii,form
— Din fr. dysphasie,form
DISFĂCÂTI,orth
s. n.,gramGrp
s. n.,MorfDef
v. desfăcat,RegDef
"DISFĂCAT?, -Ă",orth
adj.,gramGrp
adj.,MorfDef
v. desfăcat,RegDef
DISFĂŞA,orth
vb. I,gramGrp
vb. I,MorfDef
v. desfăşa,RegDef
DISFĂTUI,orth
vb. IV,gramGrp
vb. IV,MorfDef
v. desfătui,RegDef
"DISFIGURAT, -Ă",orth
adj.,gramGrp
adj.,MorfDef
v. desfigurat,RegDef
DISFIINȚĂ,orth
vb. I,gramGrp
vb. I,MorfDef
v. desfiinţa,RegDef
DISFIINȚĂRE,orth
s. f.,gramGrp
s. f.,MorfDef
v. desființare,RegDef
"DISFIINȚAT, -Ă",orth
adj.,gramGrp
adj.,MorfDef
v. desfiinţat,RegDef
DISFIRA,orth
vb. I,gramGrp
vb. I,MorfDef
v. desfira,RegDef
DISFLORI,orth
vb. IV,gramGrp
vb. IV,MorfDef
deflora,RegDef
Critica învia în Grecia pe când disflorise deja frumoasa viață greacă în nemijlocita sa productivitate.,quote
"EMINESCU, O. XIV, 250",abbr
DISFONIE,orth
s. f.,gramGrp
s. f.,MorfDef
(Med.),usg
"Alterare a vocii datorată unor leziuni ale coardelor vocale, ale nervilor laringelui sau ale unor centri nervoşi superiori.",RegDef
— PL.: disfonii,form
— Din fr. dysphonie,form
DISFORIE,orth
s. f.,gramGrp
s. f.,MorfDef
(Med.),usg
"Tulburare a dispoziţiei caracterizată prin tristeţe profundă şi frică, însoţită uneori de iritabilitate extremă şi de agresivitate.",RegDef
— PL.: disforii,form
— Din fr. dysphorie,form
DISFORMA,orth
vb. I,gramGrp
vb. I,MorfDef
v. deforma,RegDef
DISFORMITATE,orth
s. f.,gramGrp
s. f.,MorfDef
v. diformitate,RegDef
DISFORTIFICA,orth
vb. I,gramGrp
vb. I,MorfDef
v. defortifica,RegDef
DISFRAZIE,orth
s. f.,gramGrp
s. f.,MorfDef
(Med.),usg
Schizofrenie.,RegDef
— PL.: disfrazii,form
— Din fr. dysphrasie,form
DISFRÂNARE,orth
s. f.,gramGrp
s. f.,MorfDef
v. desfrânare,RegDef
"DISFRÂNAT, -Ă",orth
adj.,gramGrp
adj.,MorfDef
v. desfrânat,RegDef
DISFUNCȚIE,orth
s. f.,gramGrp
s. f.,MorfDef
(Med.),usg
"Tulburare funcțională a unui organ, a unei glande, a unui aparat sau sistem.",RegDef
"În medicină, sufixul „-ită” presupune un exces în funcţionarea unui organ, o disfuncţie prin exacerbare.",quote
"LIICEANU, J. 77",abbr
"Unul din trei bărbați ... are probleme de disfuncție erectilă, se arată în cel mai complex studiu privind sexualitatea populației active din România. RL 2006, nr. 4879.",quote
"RL 2006, nr. 4879",bibl
Fig.,usg
Și aici apar disfuncţii.,quote
"SCÂNTEIA, 1975, nr. 10 347",abbr
"Anomalie în funcționarea unei structuri sociale administrative, a unui proces etc..",RegDef
Este interesantă reacția pieței la aiurelile şi disfuncțiile procesului electoral.,quote
"RL 2004, nr. 4 487",abbr
Exprimările confuze sau incomplete utilizate în textul actelor normative au creat disfuncții în privința aplicării dispozițiilor legale în domeniul culturii.,quote
